variant,macro_f1,micro_f1
classwise_allowed_selection,0.5687786561646428,0.6534438190032131
smooth_010_020_040_020_010,0.5654262866379038,0.6549765027705688
class_specific_median,0.5650581523873267,0.6510223953261928
smooth_025_050_025,0.5612830100308053,0.6445890553715755
median_w5,0.5590640147711979,0.6550859778412794
median_w3,0.556992256488199,0.6434969544965962
median_w7,0.5501891152323551,0.6544592958870947
raw_lr_thresholds,0.54063355742308,0.6198659130952109
median_w9,0.5308250549522694,0.6479340584099228
