window,macro_f1,micro_f1,active_segments
1,0.54063355742308,0.6198659130952109,22331
3,0.556992256488199,0.6434969544965962,20493
5,0.5590640147711979,0.6550859778412794,18522
7,0.5501891152323551,0.6544592958870947,17457
9,0.5308250549522694,0.6479340584099228,16601
11,0.5131259597513679,0.6361491016358273,15918
